"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ZNF232",159.792534985408,1.29773864080461,0.215357309181966,6.0214915917955,1.72817002110447e-09,1.67249492204618e-07
"C9orf64",227.786776571617,1.36562191328777,0.226801199486516,6.01783892584913,1.76760946603103e-09,1.70146666020535e-07
"C1orf220",48.4842411923934,1.97820764639995,0.326849919125261,6.01383702828294,1.8118266425961e-09,1.73470289887917e-07
"KIRREL3",86.2310978328814,-1.85634225535385,0.309077908277432,-5.99725158406574,2.00685024960201e-09,1.90087397499683e-07
"NAPA",6724.46401312335,-1.74909313529658,0.291725814964776,-5.99641294652693,2.0172366803474e-09,1.90087397499683e-07
"ZBTB7A",1037.9440154936,-1.19824302564648,0.199862900733359,-5.99513559479879,2.03315723914621e-09,1.90584540364784e-07
"METTL13",563.038777218604,1.24967552960198,0.208707289501466,5.98648495185466,2.14424416957105e-09,1.98914754466322e-07
"PVRL2",672.374296859208,-2.5035199238632,0.420861470034519,-5.98291437826884,2.19179999008518e-09,2.00214219502475e-07
"WDR92",224.723663101033,1.3019406471675,0.217443305380942,5.98416902317973,2.17497368033722e-09,2.00214219502475e-07
"OXSM",168.907167309193,1.19257544698524,0.199493320375984,5.97395717980341,2.31566606569592e-09,2.0939234969808e-07
"CSNK1G2-AS1",175.530701847742,-2.06973043382536,0.346607112788017,-5.97072485498607,2.3620179802979e-09,2.12510401604289e-07
"AGRN",515.804301686952,-2.46315892607609,0.414679264887199,-5.96655198042948,2.42319566324992e-09,2.15845249526501e-07
"NCOR2",1143.98532054131,-1.33154651241364,0.223139861990231,-5.96709299892801,2.41517767308865e-09,2.15845249526501e-07
"DKFZP586I1420",2570.76274344974,-1.06586457409483,0.178698156175293,-5.96457885667573,2.45265799808368e-09,2.16317186195518e-07
"ZNF584",42.8856147594232,1.39239178184992,0.232511034311935,5.96525881943847,2.44246572864089e-09,2.16317186195518e-07
"MIIP",376.976723109315,-1.20456203378065,0.201975747955554,-5.96340197200841,2.47039683625901e-09,2.16813651746967e-07
"TNFRSF12A",234.321923871422,-2.36025469846169,0.397105613304151,-5.9557823767664,2.58830567699774e-09,2.24956431266833e-07
"RAB9B",18.5000611594918,1.81245584375946,0.299297850212992,5.94625854297996,2.74340718041847e-09,2.350141730058e-07
"ZNF225",183.892714696324,1.15413433165868,0.194557430492392,5.92860583275105,3.05517477340959e-09,2.59240991199646e-07
"LRTOMT",764.390301250752,1.06732612082792,0.180082849565227,5.9262735552467,3.098862046131e-09,2.6047899565225e-07
"KLHL26",79.8460417520099,-1.13150338059074,0.190873181151639,-5.9244087854782,3.13422918225287e-09,2.62220744294652e-07
